測站                  ,日期                  ,測項                  ,00                             ,01                             ,02                             ,03                             ,04                             ,05                             ,06                             ,07                             ,08                             ,09                             ,10                             ,11                             ,12                             ,13                             ,14                             ,15                             ,16                             ,17                             ,18                             ,19                             ,20                             ,21                             ,22                             ,23                             
臺東                  ,2020/01/02 00:00:00 ,WIND_SPEED          ,1.9                            ,2.1                            ,1.7                            ,1.2                            ,1.7                            ,2.1                            ,2.2                            ,1.2                            ,3.1                            ,2.9                            ,2.4                            ,3.4                            ,3.4                            ,3.2                            ,2.8                            ,2.3                            ,2.1                            ,1.9                            ,1.7                            ,1.8                            ,1.7                            ,2                              ,1.7                            ,1.5                            
臺東                  ,2020/01/02 00:00:00 ,WS_HR               ,1.6                            ,1.7                            ,1.4                            ,1.2                            ,1.4                            ,1.7                            ,1.8                            ,1.4                            ,1.6                            ,2.2                            ,2.1                            ,2.5                            ,2.4                            ,2.3                            ,2.1                            ,1.9                            ,1.8                            ,1.4                            ,1.3                            ,1.3                            ,1.1                            ,1.4                            ,1.5                            ,1.4                            
臺東                  ,2020/01/03 00:00:00 ,AMB_TEMP            ,20.2                           ,20                             ,19.9                           ,19.6                           ,19.2                           ,18.9                           ,18.6                           ,18.9                           ,20                             ,21.6                           ,23.6                           ,24                             ,23.8                           ,24.2                           ,23.4                           ,23.1                           ,22.9                           ,22.5                           ,22.1                           ,21.6                           ,21                             ,20.7                           ,20.3                           ,20                             
臺東                  ,2020/01/03 00:00:00 ,CO                  ,0.24                           ,0.18                           ,0.17                           ,0.17                           ,0.17                           ,0.17                           ,0.2                            ,0.26                           ,0.31                           ,0.28                           ,0.31                           ,0.29                           ,0.28                           ,0.25                           ,0.28                           ,0.33                           ,0.34                           ,0.38                           ,0.4                            ,0.43                           ,0.39                           ,0.31                           ,0.25                           ,0.21                           
臺東                  ,2020/01/03 00:00:00 ,NO                  ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,1                              ,1.9                            ,2.6                            ,2.3                            ,2.2                            ,1                              ,1.3                            ,0.8                            ,1.3                            ,0.6                            ,0.6                            ,0.3                            ,0.3                            ,0.5                            ,0.6                            ,0.3                            ,0                              
臺東                  ,2020/01/03 00:00:00 ,NO2                 ,2.3                            ,1.9                            ,1.7                            ,1.4                            ,1.3                            ,1.3                            ,2.3                            ,3.4                            ,3.8                            ,5.3                            ,6.1                            ,6.1                            ,5.3                            ,5.5                            ,6.9                            ,10.2                           ,9.2                            ,9.9                            ,11.4                           ,11.2                           ,10                             ,6.2                            ,4.5                            ,3.5                            
臺東                  ,2020/01/03 00:00:00 ,NOx                 ,2.2                            ,1.4                            ,1.3                            ,1                              ,1                              ,1.1                            ,2.3                            ,4.4                            ,5.8                            ,7.8                            ,8.5                            ,8.3                            ,6.3                            ,6.8                            ,7.8                            ,11.4                           ,9.8                            ,10.5                           ,11.5                           ,11.5                           ,10.6                           ,6.8                            ,4.5                            ,3.2                            
臺東                  ,2020/01/03 00:00:00 ,O3                  ,35.4                           ,33.5                           ,32.7                           ,28.1                           ,25.9                           ,21.1                           ,19.1                           ,17.5                           ,18.7                           ,25                             ,40.7                           ,42.6                           ,45.8                           ,45.9                           ,44.1                           ,40.8                           ,40.4                           ,38.8                           ,34.6                           ,26.4                           ,25.3                           ,28                             ,29.8                           ,29.6                           
臺東                  ,2020/01/03 00:00:00 ,PM10                ,11                             ,16                             ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,12                             ,13                             ,14                             ,16                             ,16                             ,11                             ,20                             ,20                             ,19                             ,17                             ,20                             ,21                             ,14                             ,15                             ,15                             ,14                             
臺東                  ,2020/01/03 00:00:00 ,PM2.5               ,6                              ,5                              ,4                              ,4                              ,5                              ,4                              ,8                              ,5                              ,3                              ,4                              ,5                              ,5                              ,3                              ,4                              ,4                              ,5                              ,11                             ,9                              ,8                              ,7                              ,6                              ,7                              ,7                              ,8                              
臺東                  ,2020/01/03 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/01/03 00:00:00 ,RH                  ,72                             ,73                             ,73                             ,73                             ,73                             ,71                             ,70                             ,67                             ,63                             ,60                             ,61                             ,60                             ,58                             ,56                             ,59                             ,60                             ,61                             ,63                             ,66                             ,70                             ,73                             ,74                             ,76                             ,78                             
臺東                  ,2020/01/03 00:00:00 ,SO2                 ,1                              ,0.5                            ,0.5                            ,0.5                            ,1                              ,0.5                            ,1                              ,2.6                            ,1.1                            ,1.2                            ,1.1                            ,1.2                            ,1.1                            ,1.2                            ,1.2                            ,1.1                            ,1.2                            ,1.1                            ,1.2                            ,1.2                            ,1.2                            ,1.1                            ,1.1                            ,1.1                            
臺東                  ,2020/01/03 00:00:00 ,WD_HR               ,320                            ,321                            ,321                            ,317                            ,318                            ,321                            ,320                            ,320                            ,323                            ,332                            ,58                             ,58                             ,55                             ,71                             ,65                             ,55                             ,39                             ,12                             ,329                            ,320                            ,320                            ,318                            ,319                            ,322                            
臺東                  ,2020/01/03 00:00:00 ,WIND_DIREC          ,317                            ,321                            ,324                            ,322                            ,313                            ,318                            ,322                            ,323                            ,322                            ,37                             ,63                             ,58                             ,39                             ,77                             ,64                             ,40                             ,34                             ,344                            ,320                            ,312                            ,320                            ,317                            ,317                            ,322                            
臺東                  ,2020/01/03 00:00:00 ,WIND_SPEED          ,2.1                            ,1.4                            ,1.6                            ,2.2                            ,2.7                            ,2.4                            ,2.5                            ,2.6                            ,2.9                            ,2.3                            ,2.7                            ,3.1                            ,2.9                            ,3.2                            ,2.5                            ,2                              ,1.7                            ,0.8                            ,1.3                            ,1.1                            ,1.8                            ,2.1                            ,2                              ,2.1                            
臺東                  ,2020/01/03 00:00:00 ,WS_HR               ,1.6                            ,1.4                            ,1.3                            ,1.9                            ,2.1                            ,2.2                            ,2.1                            ,2.3                            ,2.4                            ,1.7                            ,2.1                            ,2.4                            ,2.3                            ,2.4                            ,2                              ,1.6                            ,1.5                            ,1                              ,1                              ,0.9                            ,1.2                            ,1.7                            ,1.8                            ,1.9                            
臺東                  ,2020/01/04 00:00:00 ,AMB_TEMP            ,19.8                           ,19.4                           ,19                             ,18.8                           ,18.9                           ,18.7                           ,18.6                           ,18.7                           ,19.8                           ,21.7                           ,23.9                           ,24.4                           ,24.6                           ,24.4                           ,24.2                           ,23.8                           ,23.1                           ,23                             ,22.8                           ,22.2                           ,22                             ,21.8                           ,21.5                           ,21.2                           
臺東                  ,2020/01/04 00:00:00 ,CO                  ,0.19                           ,0.2                            ,0.19                           ,0.19                           ,0.19                           ,0.19                           ,0.21                           ,0.24                           ,0.28                           ,0.29                           ,0.3                            ,0.27                           ,0.26                           ,0.25                           ,0.24                           ,0.26                           ,0.3                            ,0.38                           ,0.31                           ,0.28                           ,0.32                           ,0.33                           ,0.29                           ,0.24                           
臺東                  ,2020/01/04 00:00:00 ,NO                  ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0.3                            ,0.8                            ,1.7                            ,1.7                            ,2.1                            ,1.4                            ,1                              ,1.4                            ,0.9                            ,1                              ,1.1                            ,1.1                            ,0.7                            ,0                              ,0                              ,0.3                            ,0.3                            ,0.3                            
臺東                  ,2020/01/04 00:00:00 ,NO2                 ,3                              ,2.2                            ,1.7                            ,1.5                            ,1.3                            ,1.2                            ,2.3                            ,2.7                            ,3.2                            ,3.4                            ,5.4                            ,4.2                            ,4.5                            ,4.7                            ,4                              ,4.5                            ,7.5                            ,10.4                           ,6.8                            ,4.8                            ,4.9                            ,7.4                            ,5.6                            ,3.6                            
臺東                  ,2020/01/04 00:00:00 ,NOx                 ,2.6                            ,1.9                            ,1.5                            ,1.4                            ,1.2                            ,1.1                            ,2.4                            ,3.5                            ,4.8                            ,5.2                            ,7.5                            ,5.6                            ,5.5                            ,6.1                            ,4.9                            ,5.5                            ,8.5                            ,11.5                           ,7.5                            ,4.8                            ,4.8                            ,7.6                            ,5.7                            ,3.7                            
臺東                  ,2020/01/04 00:00:00 ,O3                  ,32.7                           ,29.4                           ,27                             ,25.8                           ,25.3                           ,20.9                           ,19.4                           ,17.7                           ,18                             ,21.1                           ,36.9                           ,43.2                           ,44.3                           ,45.1                           ,45.9                           ,44.2                           ,42.2                           ,39.3                           ,41.5                           ,41.4                           ,40.9                           ,30.9                           ,32.5                           ,33.6                           
臺東                  ,2020/01/04 00:00:00 ,PM10                ,17                             ,17                             ,14                             ,10                             ,5                              ,10                             ,5                              ,14                             ,11                             ,5                              ,16                             ,13                             ,13                             ,14                             ,12                             ,17                             ,14                             ,23                             ,22                             ,18                             ,14                             ,14                             ,16                             ,13                             
